按照开盘价排序,日期:20210616
序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
106,cn_002375,亚厦股份,7.18,7.02,-2.77%
107,cn_600707,彩虹股份,9.8,9.6,-2.74%
108,cn_002109,兴化股份,4.87,4.75,-2.66%
109,cn_002064,华峰化学,12.39,11.95,-2.61%
110,cn_002166,莱茵生物,8.09,7.87,-2.60%
111,cn_300122,智飞生物,184.38,180,-2.54%
112,cn_601100,恒立液压,75.27,73.42,-2.51%
113,cn_603066,音飞储存,8.03,7.92,-2.46%
114,cn_601199,江南水务,3.7,3.67,-2.39%
115,cn_002177,御银股份,7.26,7.09,-2.34%
116,cn_000669,ST金鸿,2.13,2.12,-2.30%
117,cn_002218,拓日新能,4.4,4.27,-2.29%
118,cn_002362,汉王科技,19.01,18.61,-2.26%
119,cn_002116,中国海诚,6.46,6.33,-2.16%
120,cn_002118,紫鑫药业,2.87,2.81,-2.09%
121,cn_002090,金智科技,9.08,8.88,-2.09%
122,cn_002223,鱼跃医疗,33.71,33.35,-2.00%
123,cn_000661,长春高新,408.46,400.37,-1.98%
124,cn_002202,金风科技,11.7,11.49,-1.96%
125,cn_600807,济南高新,3.1,3.03,-1.94%
126,cn_002097,山河智能,8.25,8.11,-1.93%
127,cn_002285,世联行,6.36,6.19,-1.90%
128,cn_002062,宏润建设,4.31,4.24,-1.85%
129,cn_000425,徐工机械,6.16,6.05,-1.79%
130,cn_603719,良品铺子,46.17,45.77,-1.72%
131,cn_603899,晨光文具,81.9,80.5,-1.71%
132,cn_601000,唐山港,2.43,2.4,-1.64%
133,cn_002230,科大讯飞,60.01,58.58,-1.63%
134,cn_603019,中科曙光,27.48,27.08,-1.63%
135,cn_600519,贵州茅台,2192,2158,-1.60%
136,cn_600692,亚通股份,6.22,6.14,-1.60%
137,cn_002323,*ST雅博,3.25,3.18,-1.55%
138,cn_002270,华明装备,4.63,4.56,-1.51%
139,cn_600829,人民同泰,5.98,5.89,-1.51%
140,cn_000705,浙江震元,7.31,7.2,-1.50%
141,cn_600276,恒瑞医药,71.88,70.81,-1.49%
142,cn_002068,黑猫股份,7.39,7.31,-1.48%
143,cn_000915,华特达因,25.92,25.57,-1.46%
144,cn_002076,ST雪莱,2.14,2.11,-1.40%
145,cn_002039,黔源电力,14.33,14.12,-1.40%
146,cn_600012,皖通高速,6.79,6.65,-1.34%
147,cn_002185,华天科技,12.83,12.64,-1.33%
148,cn_300418,昆仑万维,18.11,17.93,-1.32%
149,cn_000421,南京公用,5.33,5.27,-1.31%
150,cn_002057,中钢天源,6.91,6.85,-1.30%
151,cn_002438,江苏神通,10.48,10.35,-1.24%
152,cn_000582,北部湾港,8.21,8.11,-1.22%
153,cn_601139,深圳燃气,6.71,6.64,-1.19%
154,cn_600019,宝钢股份,7.76,7.69,-1.16%
155,cn_002452,长高集团,5.45,5.38,-1.10%
156,cn_002416,爱施德,9.96,9.85,-1.10%
157,cn_002066,瑞泰科技,9.23,9.18,-1.08%
158,cn_002027,分众传媒,9.41,9.28,-1.07%
159,cn_300441,鲍斯股份,10.29,10.2,-1.07%
160,cn_002163,海南发展,17.5,17.5,-0.96%
161,cn_601975,招商南油,2.16,2.14,-0.93%
162,cn_600380,健康元,13.65,13.53,-0.88%
163,cn_000063,中兴通讯,32.48,31.97,-0.87%
164,cn_002682,龙洲股份,3.44,3.41,-0.87%
165,cn_002418,康盛股份,2.41,2.4,-0.83%
166,cn_002056,横店东磁,12.05,11.96,-0.83%
167,cn_002542,中化岩土,2.88,2.88,-0.69%
168,cn_300876,蒙泰高新,30.5,30.28,-0.66%
169,cn_600029,南方航空,6.19,6.14,-0.65%
170,cn_600874,创业环保,6.14,6.1,-0.65%
171,cn_300240,飞力达,6.21,6.17,-0.64%
172,cn_600859,王府井,29.2,29.1,-0.61%
173,cn_600901,江苏租赁,5.25,5.23,-0.57%
174,cn_000667,美好置业,1.79,1.79,-0.56%
175,cn_000759,中百集团,5.3,5.28,-0.56%
176,cn_600678,四川金顶,5.52,5.5,-0.54%
177,cn_000885,城发环境,9.68,9.64,-0.52%
178,cn_000757,浩物股份,3.86,3.84,-0.52%
179,cn_002102,ST冠福,2.14,2.13,-0.47%
180,cn_002179,中航光电,73,72.5,-0.44%
181,cn_600998,九州通,16.28,16.29,-0.43%
182,cn_600106,重庆路桥,2.58,2.57,-0.39%
183,cn_600017,日照港,2.67,2.66,-0.37%
184,cn_000651,格力电器,55.39,55.18,-0.34%
185,cn_601360,三六零,12.49,12.46,-0.32%
186,cn_002314,南山控股,3.38,3.36,-0.30%
187,cn_600088,中视传媒,11.27,11.27,-0.27%
188,cn_300030,阳普医疗,11.71,11.68,-0.26%
189,cn_002189,中光学,16.85,16.81,-0.24%
190,cn_002423,中粮资本,8.78,8.76,-0.23%
191,cn_000560,我爱我家,4.58,4.53,-0.22%
192,cn_601368,绿城水务,5.08,5.07,-0.20%
193,cn_600926,杭州银行,15,14.93,-0.20%
194,cn_603535,嘉诚国际,32.02,32.26,-0.19%
195,cn_601158,重庆水务,5.14,5.14,-0.19%
196,cn_688003,天准科技,29.85,29.8,-0.17%
197,cn_300033,同花顺,107,106.89,-0.17%
198,cn_601166,兴业银行,20.85,20.89,-0.14%
199,cn_002856,美芝股份,12.04,12.01,-0.08%

