按照开盘价排序,日期:20210616
序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
116,cn_002068,黑猫股份,7.39,7.31,-1.48%
117,cn_002208,合肥城建,7.31,7.36,0.41%
118,cn_000705,浙江震元,7.31,7.2,-1.50%
119,cn_002177,御银股份,7.26,7.09,-2.34%
120,cn_002199,东晶电子,7.21,7.15,0.14%
121,cn_002375,亚厦股份,7.18,7.02,-2.77%
122,cn_600797,浙大网新,7.05,6.81,-5.68%
123,cn_002057,中钢天源,6.91,6.85,-1.30%
124,cn_600012,皖通高速,6.79,6.65,-1.34%
125,cn_601139,深圳燃气,6.71,6.64,-1.19%
126,cn_600722,金牛化工,6.68,6.84,1.63%
127,cn_002116,中国海诚,6.46,6.33,-2.16%
128,cn_002285,世联行,6.36,6.19,-1.90%
129,cn_000736,中交地产,6.36,6.44,1.26%
130,cn_600692,亚通股份,6.22,6.14,-1.60%
131,cn_300240,飞力达,6.21,6.17,-0.64%
132,cn_600029,南方航空,6.19,6.14,-0.65%
133,cn_000425,徐工机械,6.16,6.05,-1.79%
134,cn_600874,创业环保,6.14,6.1,-0.65%
135,cn_600098,广州发展,6.02,6.14,2.33%
136,cn_600829,人民同泰,5.98,5.89,-1.51%
137,cn_002206,海利得,5.95,5.77,-4.15%
138,cn_600864,哈投股份,5.95,5.99,0.50%
139,cn_002162,悦心健康,5.78,5.6,-2.95%
140,cn_600678,四川金顶,5.52,5.5,-0.54%
141,cn_002492,恒基达鑫,5.47,5.46,0.18%
142,cn_002452,长高集团,5.45,5.38,-1.10%
143,cn_002061,浙江交科,5.43,5.47,0.74%
144,cn_000601,韶能股份,5.39,5.43,1.31%
145,cn_000421,南京公用,5.33,5.27,-1.31%
146,cn_000759,中百集团,5.3,5.28,-0.56%
147,cn_601390,中国中铁,5.25,5.35,2.10%
148,cn_600901,江苏租赁,5.25,5.23,-0.57%
149,cn_300013,新宁物流,5.2,5.22,1.36%
150,cn_601398,工商银行,5.16,5.17,0.19%
151,cn_601158,重庆水务,5.14,5.14,-0.19%
152,cn_600769,祥龙电业,5.1,5.15,0.59%
153,cn_601368,绿城水务,5.08,5.07,-0.20%
154,cn_000875,吉电股份,5.07,4.82,-5.30%
155,cn_300184,力源信息,5.07,4.99,0.40%
156,cn_002357,富临运业,4.9,4.92,1.03%
157,cn_002109,兴化股份,4.87,4.75,-2.66%
158,cn_601668,中国建筑,4.86,4.88,0.41%
159,cn_600028,中国石化,4.74,4.7,0.43%
160,cn_002270,华明装备,4.63,4.56,-1.51%
161,cn_600905,三峡能源,4.61,4.95,7.14%
162,cn_000560,我爱我家,4.58,4.53,-0.22%
163,cn_002218,拓日新能,4.4,4.27,-2.29%
164,cn_002264,新华都,4.36,4.37,0.00%
165,cn_002062,宏润建设,4.31,4.24,-1.85%
166,cn_002244,滨江集团,4.31,4.34,0.70%
167,cn_002225,濮耐股份,4.25,4.28,0.71%
168,cn_000757,浩物股份,3.86,3.84,-0.52%
169,cn_601669,中国电建,3.81,3.83,0.79%
170,cn_601199,江南水务,3.7,3.67,-2.39%
171,cn_600657,信达地产,3.55,3.56,0.00%
172,cn_002204,大连重工,3.54,3.57,0.56%
173,cn_300117,嘉寓股份,3.53,3.59,1.70%
174,cn_002682,龙洲股份,3.44,3.41,-0.87%
175,cn_002377,国创高新,3.38,3.38,0.00%
176,cn_002314,南山控股,3.38,3.36,-0.30%
177,cn_601099,太平洋,3.36,3.38,0.30%
178,cn_002323,*ST雅博,3.25,3.18,-1.55%
179,cn_000563,陕国投Ａ,3.23,3.26,0.62%
180,cn_600807,济南高新,3.1,3.03,-1.94%
181,cn_601988,中国银行,3.07,3.09,0.65%
182,cn_600665,天地源,3.04,3.05,0.00%
183,cn_601618,中国中冶,2.95,3.02,2.37%
184,cn_002542,中化岩土,2.88,2.88,-0.69%
185,cn_002118,紫鑫药业,2.87,2.81,-2.09%
186,cn_000564,*ST大集,2.8,2.71,-3.90%
187,cn_000046,泛海控股,2.69,2.72,1.12%
188,cn_600017,日照港,2.67,2.66,-0.37%
189,cn_600106,重庆路桥,2.58,2.57,-0.39%
190,cn_002147,*ST新光,2.55,2.7,5.06%
191,cn_601000,唐山港,2.43,2.4,-1.64%
192,cn_002325,洪涛股份,2.42,2.41,0.00%
193,cn_002418,康盛股份,2.41,2.4,-0.83%
194,cn_601975,招商南油,2.16,2.14,-0.93%
195,cn_002102,ST冠福,2.14,2.13,-0.47%
196,cn_002076,ST雪莱,2.14,2.11,-1.40%
197,cn_000669,ST金鸿,2.13,2.12,-2.30%
198,cn_000667,美好置业,1.79,1.79,-0.56%
199,cn_600393,ST粤泰,1.43,1.44,0.00%
按照收盘价排序,日期:20210616
1,cn_600519,贵州茅台,2192,2158,-1.60%
2,cn_300896,爱美客,650.87,614,-5.66%
3,cn_300782,卓胜微,478.29,456,-4.66%
4,cn_300750,宁德时代,440.91,420.18,-5.58%
5,cn_000661,长春高新,408.46,400.37,-1.98%
6,cn_600436,片仔癀,399.18,399.6,0.06%
7,cn_300454,深信服,263.02,257,-2.97%
8,cn_688363,华熙生物,236,223.99,-4.97%
9,cn_002594,比亚迪,226,211,-9.18%
10,cn_300122,智飞生物,184.38,180,-2.54%
11,cn_603259,药明康德,144.03,136,-5.53%
12,cn_603288,海天味业,131.85,133.9,1.86%
13,cn_002049,紫光国微,142.3,132.11,-6.19%
14,cn_600309,万华化学,115.1,110.01,-4.11%
15,cn_000538,云南白药,108.17,107.65,0.39%
16,cn_300033,同花顺,107,106.89,-0.17%
17,cn_601012,隆基股份,104.76,100.63,-5.07%
18,cn_600745,闻泰科技,96.35,92.29,-3.23%
19,cn_300015,爱尔眼科,85,81.07,-4.51%
20,cn_603899,晨光文具,81.9,80.5,-1.71%
21,cn_000333,美的集团,73.9,75,2.40%
22,cn_601100,恒立液压,75.27,73.42,-2.51%
23,cn_002179,中航光电,73,72.5,-0.44%
24,cn_600276,恒瑞医药,71.88,70.81,-1.49%
25,cn_300413,芒果超媒,73.59,69.9,-4.90%
26,cn_002032,苏泊尔,66.88,66.5,0.00%
27,cn_002415,海康威视,60.5,58.68,-3.36%
28,cn_002230,科大讯飞,60.01,58.58,-1.63%
29,cn_600036,招商银行,54.8,55.6,1.46%
30,cn_000651,格力电器,55.39,55.18,-0.34%
31,cn_688981,中芯国际,54.99,55.05,0.09%
32,cn_600612,老凤祥,56.7,54.3,-3.36%
33,cn_600660,福耀玻璃,57.6,54.24,-5.93%
34,cn_603005,晶方科技,49.8,47.38,-4.80%
35,cn_603719,良品铺子,46.17,45.77,-1.72%
36,cn_002142,宁波银行,40.26,40.55,0.77%
37,cn_600887,伊利股份,37.83,38.5,2.01%
38,cn_600511,国药股份,33.49,33.52,0.21%
39,cn_002223,鱼跃医疗,33.71,33.35,-2.00%
40,cn_600588,用友网络,33.68,32.98,-3.48%
41,cn_002138,顺络电子,33.95,32.76,-3.56%
42,cn_603535,嘉诚国际,32.02,32.26,-0.19%
43,cn_000063,中兴通讯,32.48,31.97,-0.87%
44,cn_300876,蒙泰高新,30.5,30.28,-0.66%
45,cn_688003,天准科技,29.85,29.8,-0.17%
46,cn_603353,和顺石油,29.8,29.8,0.51%
47,cn_600859,王府井,29.2,29.1,-0.61%
48,cn_300059,东方财富,30.71,28.83,-6.55%
49,cn_603019,中科曙光,27.48,27.08,-1.63%
50,cn_600031,三一重工,27.64,26.92,-4.20%
51,cn_002555,三七互娱,26.53,25.68,-3.17%
52,cn_000915,华特达因,25.92,25.57,-1.46%
53,cn_000002,万科Ａ,24.75,24.96,0.81%
54,cn_600030,中信证券,24.52,24.65,0.28%
55,cn_002158,汉钟精机,25.48,23.88,-6.28%
56,cn_601166,兴业银行,20.85,20.89,-0.14%
57,cn_002088,鲁阳节能,21.88,20.66,-5.58%
58,cn_002156,通富微电,20.48,20.6,0.59%
59,cn_002080,中材科技,21.04,20.24,-3.76%
60,cn_002254,泰和新材,19.68,18.82,-3.83%
61,cn_002362,汉王科技,19.01,18.61,-2.26%
62,cn_300418,昆仑万维,18.11,17.93,-1.32%
63,cn_000668,荣丰控股,17.18,17.51,1.68%
64,cn_002163,海南发展,17.5,17.5,-0.96%
65,cn_002189,中光学,16.85,16.81,-0.24%
66,cn_600998,九州通,16.28,16.29,-0.43%
67,cn_300149,睿智医药,16.65,16.04,-3.08%
68,cn_000301,东方盛虹,16.73,15.99,-4.71%
69,cn_600926,杭州银行,15,14.93,-0.20%
70,cn_002039,黔源电力,14.33,14.12,-1.40%
71,cn_600380,健康元,13.65,13.53,-0.88%
72,cn_002185,华天科技,12.83,12.64,-1.33%
73,cn_601360,三六零,12.49,12.46,-0.32%
74,cn_601236,红塔证券,12.3,12.46,0.81%
75,cn_002856,美芝股份,12.04,12.01,-0.08%
